image_filename,class,x1,y1,x2,y2
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,780,425,789,434
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,505,236,515,246
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,776,436,787,456
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,678,430,691,442
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,545,95,554,105
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,405,130,416,144
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,270,831,283,842
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,600,303,611,315
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,273,654,298,665
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,634,387,661,397
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,311,178,322,202
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,451,245,470,269
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,284,829,302,843
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,429,624,447,636
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,756,259,766,269
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,389,256,399,266
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Polyp,214,771,224,790
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,375,535,386,546
rpa_aa_25C_6_dpf_fert_04_24_20260440.png,Planula,325,200,335,210
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,504,236,515,246
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,678,431,691,442
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,545,95,554,105
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,600,303,611,315
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,634,387,661,398
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,405,130,416,144
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,311,178,322,202
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,270,832,283,842
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,776,436,787,457
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,430,624,446,636
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,757,251,767,261
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,273,654,298,665
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,360,553,371,565
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,773,424,781,432
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,451,244,470,268
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,389,256,399,266
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,284,829,302,843
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Polyp,214,770,224,789
rpa_aa_25C_6_dpf_fert_04_24_20260426.png,Planula,329,195,339,205
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,505,235,515,246
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,545,95,554,105
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,678,430,691,442
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,405,130,416,144
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,600,303,611,315
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,633,387,661,397
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,270,832,282,842
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,312,178,322,202
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,273,654,299,665
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,757,264,767,274
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,785,424,793,433
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,451,244,471,269
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,389,256,399,266
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,386,525,397,536
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,776,436,787,456
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,284,829,302,843
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Planula,324,203,334,213
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,214,771,224,790
rpa_aa_25C_6_dpf_fert_04_24_20260449.png,Polyp,429,624,447,636
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,504,236,515,246
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,678,431,691,442
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,545,95,554,105
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,634,387,661,398
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,778,425,787,435
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,776,436,787,456
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,600,303,611,315
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,405,130,416,144
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,270,831,283,843
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,311,178,322,202
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,273,654,298,665
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,451,245,470,269
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,284,829,302,843
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,429,624,447,636
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,373,539,384,550
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,756,257,765,267
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Planula,389,256,399,266
rpa_aa_25C_6_dpf_fert_04_24_20260437.png,Polyp,214,770,224,789
