image_filename,class,x1,y1,x2,y2
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,326,136,343,146
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Planula,446,911,457,923
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Planula,612,256,623,268
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Planula,146,555,157,567
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,76,542,88,561
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,778,785,794,798
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,465,469,487,489
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,220,794,248,817
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,751,771,773,780
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,160,526,176,547
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,309,117,323,132
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Planula,788,219,800,232
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Planula,849,604,858,614
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,374,572,385,589
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,500,884,516,905
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Planula,349,214,361,225
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,556,594,572,613
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,474,749,490,759
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Planula,791,638,800,655
rpa_bb_25C_6_dpf_fert_04_24_20260241.png,Polyp,907,499,919,514
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,160,526,176,548
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,76,542,88,561
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Planula,146,555,157,567
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Planula,612,255,623,267
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,219,794,248,818
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,309,117,323,132
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,326,136,343,146
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,465,469,487,488
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,777,785,794,798
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,751,771,773,780
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Planula,349,214,361,225
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Planula,849,603,857,614
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,500,883,516,905
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Planula,788,219,801,233
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Planula,446,911,457,923
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,374,572,385,590
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,474,749,490,760
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Planula,791,658,800,675
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,556,593,572,613
rpa_bb_25C_6_dpf_fert_04_24_20260230.png,Polyp,907,499,919,514
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Planula,612,255,624,266
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,309,118,323,132
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Planula,347,209,357,222
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Planula,146,555,157,567
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,373,572,387,590
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Planula,852,606,861,616
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Planula,788,220,800,233
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,76,542,88,561
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,777,785,794,798
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,161,526,177,548
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,220,795,248,817
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,751,770,773,780
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,326,136,343,146
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,500,884,516,904
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,465,469,486,488
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Planula,446,911,457,923
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,556,593,572,613
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,474,749,489,759
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Polyp,908,500,919,515
rpa_bb_25C_6_dpf_fert_04_24_20260085.png,Planula,709,814,720,826
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Planula,446,911,457,923
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Planula,612,255,623,267
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Planula,146,555,157,567
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,326,136,343,146
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,76,542,88,562
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,778,785,794,797
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,465,469,487,489
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,219,794,248,818
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,751,770,773,779
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Planula,349,213,361,225
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Planula,848,603,857,613
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,160,526,176,548
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Planula,788,219,800,232
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,309,118,323,132
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,500,884,515,905
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,374,572,385,589
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Planula,789,670,799,686
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,474,749,490,759
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,556,593,573,613
rpa_bb_25C_6_dpf_fert_04_24_20260224.png,Polyp,908,499,919,514
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Planula,145,555,157,567
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Planula,612,255,624,266
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Planula,446,911,457,923
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,308,117,323,132
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,556,594,572,613
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,75,541,88,561
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,475,749,490,759
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,777,785,794,798
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,465,469,486,488
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Planula,788,220,800,233
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,500,882,516,903
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Planula,346,209,358,222
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Planula,853,607,861,617
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,908,498,920,514
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,751,771,773,780
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,220,795,248,817
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,161,525,177,547
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,326,136,342,146
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Polyp,373,572,387,590
rpa_bb_25C_6_dpf_fert_04_24_20260072.png,Planula,697,829,709,841
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Planula,612,255,624,266
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Planula,851,605,861,616
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Planula,146,555,157,567
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,373,572,387,590
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Planula,347,210,358,223
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,751,770,773,779
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,76,542,87,562
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Planula,446,911,457,923
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Planula,788,220,800,233
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,777,785,794,798
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,219,795,248,818
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,465,469,486,488
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,309,118,323,132
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,500,884,516,904
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,160,526,176,548
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,474,749,490,759
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,326,136,343,146
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,556,593,572,613
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Planula,710,812,723,824
rpa_bb_25C_6_dpf_fert_04_24_20260088.png,Polyp,908,500,919,515
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Polyp,326,136,343,146
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Planula,612,255,623,267
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Planula,146,555,157,567
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Polyp,309,118,323,132
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Polyp,76,542,88,561
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Polyp,474,749,490,759
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Polyp,465,469,487,488
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Planula,848,603,857,613
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Planula,349,213,361,225
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Polyp,778,784,794,798
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Planula,788,219,800,233
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Polyp,219,795,248,818
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Polyp,751,771,773,780
rpa_bb_25C_6_dpf_fert_04_24_20260219.png,Planula,446,911,457,923
