Format: 
- videoname: xmin, xmax, ymin, ymax

- wt 25c 3 dpf fert 04.24.2026: 30, 1060, 430, 1460
- wt 25C 8 dpf celldish 04.01.2026: 10, 700, 335, 1025
- rpa bb 25C 6 dpf fert 04.24.2026: 20, 1020, 430, 1420
- rpa aa 16C 5 dpf fert 04.10.2026: 30, 1050, 480, 1490
- glw ac 16c 4 dpf fert 04.10.2026: 30, 1070, 490, 1520
- wt 16C 3 dpf 03.27.2026 celldish: 20, 1040, 580, 1590
- glw ac 25c 3 dpf fert 04.24.2026: 10, 1040, 440, 1450
- rpa aa 16C 6 dpf movedtodish 03.30.2026: 50, 1070, 630, 1650
- rpa aa 16C 5 dpf fert 04.24.2026: 20, 1020, 450, 1440
- wt 16c 4 dpf fert 04.10.2026: 15, 1045, 540, 1565
- glw ac 25C 2 dpf 03.26.2026: 20, 1060, 200, 1225
- rpa bb 25C 6 dpf fert 04.10.2026: 0, 1025, 430, 1445
- rpa bb 16C 8 dpf celldish 04.01.2026: 20, 1050, 220, 1250
- glw ac 25c 7 dpf fert 04.10.2026: 40, 1060, 600, 1610
- rpa aa 25C 8 dpf celldish 04.01.2026: 40, 1080, 450, 1520
- rpa aa 25C 6 dpf fert 04.10.2026: 30, 1050, 460, 1480
- rpa bb 16C 3 dpf movedtodish 03.27.2026: 35, 1050, 570, 1570
- wt 25c 7 dpf fert 04.24.2026: 35, 1040, 465, 1465
- rpa bb 16C 5 dpf fert 04.24.2026: 35, 1040, 465, 1465
- rpa bb 16C 5 dpf fert 04.10.2026: 20, 1040, 500, 1510
- rpa bb 25C 3 dpf 03.27.2026 celldish: 70, 1080, 400, 1400
- wt 25c 7 dpf fert 04.10.2026: 10, 1040, 480, 1500
- wt 25C 2 dpf 03.26.2026: 0, 1030, 190, 1210
- rpa aa 16C 3 dpf 03.27.2026 celldish: 35, 1050, 480, 1480
- rpa aa 25C 6 dpf fert 04.24.2026: 10, 1010, 480, 1470
- glw ac 25c 7 dpf fert 04.24.2026: 20, 1050, 410, 1430
- rpa bb 16C 2 dpf 03.26.2026: 50, 1050, 250, 1230
- rpa bb 16C 6 dpf fert 04.10.2026: 10, 1040, 510, 1530
- rpa aa 25C 4 dpf fert 04.10.2026 take2: 10, 1050, 430, 1460
- wt 25c 4 dpf fert 04.10.2026: 10, 1050, 410, 1435
- rpa aa 25C 5 dpf fert 04.24.2026: 30, 1070, 470, 1500
- rpa aa 16C 2 dpf 03.26.2026: 25, 1035, 290, 1280
- glw ac 16c 3 dpf fert 04.24.2026: 10, 1040, 440, 1470
- glw ac 25c 4 dpf fert 04.10.2026: 0, 1040, 460, 1485
- rpa aa 25C 5 dpf fert 04.10.2026: 30, 1040, 440, 1440
- wt 25C 6 dpf celldish 03.30.2026: 20, 1020, 190, 1180
- rpa bb 16C 6 dpf fert 04.24.2026: 20, 1020, 490, 1475
- wt 16c 3 dpf fert 04.24.2026: 0, 1025, 430, 1450
- wt 16C 9 dpf celldish 04.02.2026: 0, 1020, 360, 1380
- glw ac 16c 7 dpf fert 04.24.2026: 10, 1040, 460, 1480
- rpa aa 16C 6 dpf fert 04.24.2026: 50, 1050, 435, 1430
- wt 16C 3 dpf movedtodish 03.27.2026: 30, 1060, 600, 1600
- wt 25C 3 dpf celldish 03.27.2026: 40, 1050, 390, 1400
- wt 16c 7 dpf fert 04.10.2026: 60, 1060, 480, 1470
- rpa bb 25C 5 dpf fert 04.10.2026: 30, 1050, 400, 1410
- rpa bb 25C 5 dpf fert 04.24.2026: 20, 1060, 430, 1460
- rpa aa 25C 6 dpf celldish 03.30.2026: 30, 1050, 200, 1220
- wt 16c 7 dpf fert 04.24.2026: 30, 1050, 450, 1480
- rpa bb 16C 6 dpf celldish 03.30.2026: 30, 1050, 510, 1530
- rpa aa 16C 6 dpf fert 04.10.2026: 20, 1050, 450, 1460
- rpa aa 16C 9 dpf celldish 04.02.2026: 0, 1040, 275, 1300
- glw ac 16c 7 dpf fert 04.10.2026: 20, 1040, 450, 1450
- glw ac 25c 6 dpf fert 04.24.2026: 0, 1000, 480, 1470
- rpa aa 25C 7 dpf fert 04.24.2026: 40, 1050, 470, 1480
- rpa aa 25C 3 dpf 03.27.2026 celldish: 60, 1070, 630, 1630
- rpa bb 16C 3 dpf 03.27.2026 celldish: 20, 1050, 480, 1490
- wt 25c 6 dpf fert 04.10.2026: 30, 1050, 420, 1440
- rpa bb 16C 4 dpf fert 04.10.2026: 30, 1070, 570, 1590
- glw ac 16C 2 dpf 03.26.2026: 10, 1020, 290, 1290
- wt 25c 6 dpf fert 04.24.2026: 30, 1030, 450, 1440
- 
