epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,641.388,1.44667,1.73795,0.00099,0.90229,0.81511,0.942,0.67828,1.02894,0.86659,0.00071,0.000553903,0.000553903,0.000553903
2,1393.71,1.17461,0.68479,0.00078,0.95974,0.94117,0.98797,0.75747,0.86825,0.49286,0.00058,0.000999722,0.000999722,0.000999722
3,2100.71,1.10122,0.47591,0.00072,0.96585,0.90838,0.98716,0.77818,0.81727,0.39257,0.00054,0.00133552,0.00133552,0.00133552
4,2787.28,1.03207,0.38302,0.00067,0.97852,0.96409,0.99208,0.75997,0.87984,0.32661,0.00058,0.0011719,0.0011719,0.0011719
5,3553.49,0.9617,0.33441,0.00063,0.97073,0.9762,0.99271,0.76868,0.85992,0.29406,0.00057,0.00100687,0.00100687,0.00100687
6,4341.02,0.92604,0.30653,0.0006,0.98842,0.98413,0.99415,0.79136,0.79756,0.2554,0.00053,0.000841835,0.000841835,0.000841835
7,5134.83,0.88867,0.28663,0.00057,0.98976,0.9809,0.9942,0.77734,0.83061,0.25855,0.00055,0.000676802,0.000676802,0.000676802
8,6064.49,0.8447,0.27156,0.00055,0.99099,0.98564,0.99445,0.80859,0.73427,0.2348,0.00048,0.000511769,0.000511769,0.000511769
9,6906.86,0.83159,0.26283,0.00053,0.98406,0.98582,0.99407,0.815,0.71092,0.23586,0.00047,0.000346736,0.000346736,0.000346736
10,7742.1,0.7791,0.24999,0.00051,0.98989,0.98693,0.99446,0.78546,0.81279,0.24919,0.00053,0.000181703,0.000181703,0.000181703
